SampleID,omitted_tracer,Aq_class,LPM,n_active_full,tau1_full,tau1_reduced,delta_tau1_rel,w_full_cond,w_reduced_cond,information_ratio_cond,censored_cond,w_full_true,w_reduced_true,information_ratio_true,censored_true
SCTXLUSRC1-11,14C,unconfined,DM,4,17.464717864990234,17.46478843688965,4.040826766261761e-06,0.2729163258802146,0.2729209620971229,1.00001698768622,False,0.3451345223933457,0.3452362776733933,1.0002948278814359,False
SCTXSUS1-16,3H,confined,DM,2,28.134645462036133,21.975208282470703,0.2189271298220818,1.108877130039037,2.9,2.6152581935727253,True,2.6469247945817185,2.9,1.0956110298019532,True
SCTXSUS1-16,14C,confined,DM,2,28.134645462036133,28.238210678100582,0.0036810563759973,1.108877130039037,1.1134098685346543,1.004087683272409,False,2.6469247945817185,2.648456901754253,1.0005788253507129,True
SCTXSUS1-17,3H,unconfined,DM,2,22.84170913696289,25.56565284729004,0.1192530600050068,1.8790615678764864,2.9,1.5433235661763167,True,2.94925291899126,2.9,0.9832998659850081,True
SCTXSUS1-17,14C,unconfined,DM,2,22.84170913696289,20.095378875732425,0.1202331333773226,1.8790615678764864,1.9854065096005813,1.056594708519463,True,2.94925291899126,2.9,0.9832998659850081,True
SCTXSUS1-22,3H,unconfined,DM,2,21.055614471435547,21.93123435974121,0.0415860524751508,1.9453993702074528,2.9,1.490696483411913,True,2.9,2.9,1.0,True
SCTXSUS1-22,14C,unconfined,DM,2,21.055614471435547,16.731647491455078,0.2053593347202688,1.9453993702074528,2.437454905849884,1.2529329160777716,True,2.9,2.9,1.0,True
SCTXSUS1-23,3H,confined,DM,2,19.277406692504883,20.381441116333008,0.0572708996307774,2.9,2.9,1.0,True,2.9,2.9,1.0,True
SCTXSUS1-23,14C,confined,DM,2,19.277406692504883,14.163118362426758,0.2652996023612749,2.9,2.949294375791213,1.0169980606176596,True,2.9,2.9,1.0,True
SCTXSUS1-19/EDTRVFPS1-02,3H,confined,DM,4,18.941993713378903,18.33083152770996,0.0322649344581545,0.828063519950956,0.9195642379578202,1.1104996365644553,False,1.2673676198814068,1.457539161061868,1.1500523906380506,False
SCTXSUS1-19/EDTRVFPS1-02,3He(trit),confined,DM,4,18.941993713378903,18.12237548828125,0.0432699027092777,0.828063519950956,1.8403457237407552,2.2224692664274768,True,1.2673676198814068,2.730826304689981,2.154723114154926,True
SCTXSUS1-19/EDTRVFPS1-02,SF6,confined,DM,4,18.941993713378903,19.804908752441406,0.0455556607250384,0.828063519950956,0.9947033825796104,1.2012404345967616,False,1.2673676198814068,1.4029970671515921,1.1070166581049914,False
SCTXSUS1-19/EDTRVFPS1-02,14C,confined,DM,4,18.941993713378903,18.935941696166992,0.0003195026512779,0.828063519950956,0.8282287409529081,1.0001995269661943,False,1.2673676198814068,1.2704082575626663,1.0023991757668103,False
SCTXLUSRC1-27,3H,unconfined,DM,4,19.302978515625,19.231332778930664,0.0037116415291216,1.1045991134364157,1.1166697313077738,1.0109276005426135,False,1.1329531946685165,1.2990417080465695,1.1465978596111799,False
SCTXLUSRC1-27,3He(trit),unconfined,DM,4,19.302978515625,19.206483840942383,0.0049989526022892,1.1045991134364157,1.7720697200391429,1.604265021113607,True,1.1329531946685165,2.660069513809867,2.347907686149523,True
SCTXLUSRC1-27,SF6,unconfined,DM,4,19.302978515625,19.324237823486328,0.0011013485739581,1.1045991134364157,1.242851695930586,1.125160866790908,False,1.1329531946685165,1.3512339305132635,1.192665272380129,False
